"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",112,"2010-10-03","89.4      ","-1.887","5.867","Brad Ausmus","110385","150438","Double","Swinging Strike","213.618   ","1384.947  ","15.0      ","5.3       ","11","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","S",9,3,0,1,2010,"-3.98                 ","5.94                ","-0.388","4.063               ","null","null","null",0,2,"bot","219.8800","103.4100","164037","2010-10-03T20:40:37Z","520209","427315","101003_133739","5.22","-131.00             ","-0.47","-6.92","27.23","-21.76","null","null","null","null","null","null","null","null",266225
"FF",111,"2010-10-03","88.0      ","-1.978","5.846","Brad Ausmus","110385","150438","Double","Called Strike","199.191   ","1571.830  ","10.0      ","4.8       ","2 ","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","S",9,3,0,0,2010,"-2.73                 ","7.8                 ","-0.105","3.162               ","null","null","null",0,2,"bot","219.8800","103.4100","164024","2010-10-03T20:40:24Z","520209","427315","101003_133726","5.67","-128.84             ","-3.09","-4.59","26.81","-18.99","null","null","null","null","null","null","null","null",266225
"FT",116,"2010-10-03","90.2      ","-1.957","5.804","Brad Ausmus","110385","150438","Double","Foul","239.823   ","2444.077  ","39.1      ","6.5       ","1 ","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","S",9,3,1,2,2010,"-10.99                ","6.35                ","-0.491","3.208               ","null","null","null",0,2,"bot","219.8800","103.4100","164159","2010-10-03T20:41:59Z","520209","427315","101003_133901","7.51","-131.99             ","-2.70","-19.22","30.34","-21.00","null","null","null","null","null","null","null","null",266225
"SL",113,"2010-10-03","77.8      ","-1.918","6.003","Brad Ausmus","110385","150438","Double","Foul","61.040    ","1051.848  ","-12.2     ","11.4      ","6 ","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","S",9,3,0,2,2010,"5.53                  ","-3.11               ","0.319","2.68                ","null","null","null",0,2,"bot","219.8800","103.4100","164054","2010-10-03T20:40:54Z","520209","427315","101003_133756","3.41","-114.00             ","0.59","7.23","22.07","-36.18","null","null","null","null","null","null","null","null",266225
"SL",114,"2010-10-03","82.9      ","-1.926","5.696","Brad Ausmus","110385","150438","Double","Ball","98.164    ","784.956   ","-13.5     ","8.8       ","14","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","B",9,3,0,2,2010,"4.33                  ","0.57                ","1.495","1.916               ","null","null","null",0,2,"bot","219.8800","103.4100","164116","2010-10-03T20:41:16Z","520209","427315","101003_133818","6.86","-121.31             ","-2.57","6.50","22.37","-31.24","null","null","null","null","null","null","null","null",266225
"FF",117,"2010-10-03","91.6      ","-1.779","5.715","Brad Ausmus","110385","150438","Double","Ball","209.307   ","1959.965  ","21.5      ","4.2       ","14","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","B",9,3,1,2,2010,"-4.88                 ","8.65                ","1.067","2.324               ","null","null","null",0,2,"bot","219.8800","103.4100","164223","2010-10-03T20:42:23Z","520209","427315","101003_133925","9.20","-133.90             ","-5.86","-8.86","28.88","-16.40","null","null","null","null","null","null","null","null",266225
"FF",115,"2010-10-03","90.0      ","-1.991","5.793","Brad Ausmus","110385","150438","Double","Foul","209.733   ","1614.823  ","15.9      ","4.9       ","2 ","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","S",9,3,1,2,2010,"-4.18                 ","7.27                ","0.098","3.187               ","null","null","null",0,2,"bot","219.8800","103.4100","164135","2010-10-03T20:41:35Z","520209","427315","101003_133837","6.82","-131.83             ","-3.00","-7.28","30.79","-19.43","null","null","null","null","null","null","null","null",266225
"FT",118,"2010-10-03","90.5      ","-1.896","5.819","Brad Ausmus","110385","150438","Double","Ball","233.146   ","1939.913  ","30.0      ","5.8       ","11","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","B",9,3,2,2,2010,"-8.07                 ","6.01                ","-0.289","3.804               ","null","null","null",0,2,"bot","219.8800","103.4100","164240","2010-10-03T20:42:40Z","520209","427315","101003_133942","6.91","-132.59             ","-1.11","-14.19","31.67","-21.54","null","null","null","null","null","null","null","null",266225
"SL",119,"2010-10-03","81.7      ","-2.354","5.75","Brad Ausmus","110385","150438","Double","In play, no out","45.769    ","999.894   ","-10.0     ","10.8      ","2 ","Brad Ausmus doubles (2) on a line drive to right fielder Gerardo Parra.  ","R ","R","R","LAD","ARI","X",9,3,3,2,2010,"4.11                  ","-4.05               ","-0.143","2.954               ","null","null","null",0,2,"bot","219.8800","103.4100","164301","2010-10-03T20:43:01Z","520209","427315","101003_134001","3.95","-119.81             ","1.46","5.92","25.16","-37.93","null","null","null","null","null","null","null","null",266225
"FF",257,"2010-10-03","89.7      ","-1.901","5.705","Brad Ausmus","110385","150438","Flyout","Foul","195.116   ","1872.105  ","9.9       ","3.9       ","3 ","Brad Ausmus flies out to center fielder Cole Gillespie.  ","R ","R","R","LAD","ARI","S",8,1,1,0,2010,"-2.53                 ","9.34                ","0.585","2.99                ","null","null","null",1,4,"bot","134.5400","70.2800","172443","2010-10-03T21:24:43Z","520209","427315","101003_142145","7.29","-131.25             ","-3.98","-4.42","28.01","-15.82","null","null","null","null","null","null","null","null",266225
