Name,ID#
Ron Davis,1003075
Cliff Chambers,1002120
Don Heinkel,1005595
Carl Duser,1003601
Stan Belinda,1000792
John Durham,1003590
Rick VandenHurk,5099
Zip Zabel,1014402
Mike Munoz,1009328
Charlie Hodnett,1005891
Mickey Weston,1013811
Gene Dale,1002938
Brandon Gomes,2267
Guy Cooper,1002597
Ed Barry,1000614
John Thomson,453
Brad Moore,1009096
Al Smith,1012088
Jack Wieneke,1013928
Jason Childers,2379
George Winn,1014138
Larry White,1013884
Danny Coombs,1002582
Lefty Herring,1005729
Jose Paniagua,483
Jack Cullen,1002859
Dave Gray,1004966
Harry Kane,1006687
Mike Busby,1001743
Norm Lehr,1007489
Bill Currie,1002889
Lino Urdaneta,1862
Carlos Perez,1010179
Don Buschhorn,1001746
Mark Loretta,1383
Dave Ford,1004217
Julie Freeman,1004323
Randy Tomlin,1013111
Darren O'Day,3321
Bill Parks,1010013
Wally Holborow,1005938
Joe Smith,3281
Hal Hudson,1006135
Chris Hatcher,3299
Keith Foulke,231
Rupe Toppin,1013122
Billy Burke,1001675
Edgar Ibarra,5195
Evan Meek,5109
Al Reyes,1005
Tony Von Fricken,1013451
Chris Peters,1010225
Luis Martinez,1823
Bunky Stewart,1012518
Josh Smith,10946
Allen Webster,3993
Mike Bovee,1001242
Samuel Deduno,5285
Brian Tollberg,1055
Ed Walker,1013514
Tink Turner,1013235
Shane Reynolds,574
Frank McPartlin,1008674
Ensign Cottrell,1002665
Charlie Gould,1004901
Rich Rodriguez,1276
Don Wengert,1013777
Zach Britton,3240
James Shields,7059
Juan Lara,2613
Jack Baldschun,1000475
Lev Shreve,1011938
Pat Ahearne,1000089
Chad Ogea,1009744
Ted Wingfield,1014130
Frank Allen,1000140
Kevin Mmahat,1009018
Rich Gale,1004444
Jamie Moyer,1091
Mike Clark,1002298
Scott Ruskin,1011309
Ray Daviault,1003021
Rafael Quirico,1010619
Al Aber,1000016
Ramon Lopez,1007758
Ed Scott,1011678
Patrick Corbin,9323
Dick Burwell,1001741
Joe Hatten,1005495
Dan Schatzeder,1011527
Dan Petry,1010246
Doug Corbett,1002608
Belve Bean,1000712
Steve Cummings,1002875
Steve Gromek,1005080
Brad Clontz,1002360
Jeff Brantley,1001358
Brian Stokes,8653
Doc Landis,1007295
Charlie Blackburn,1001008
Jim Hardin,1005344
Boof Bonser,2159
Kid Nichols,1009564
Ian Kennedy,6986
Oral Hildebrand,1005804
Jeremy Sowers,9083
Al Hollingsworth,1005955
Rick Sawyer,1011477
Dee Moore,1009101
Josh Towers,1489
Bill Hart,1005438
Jimmy Zinn,1014452
Alex Fernandez,1003993
Tony Welzer,1013775
Lefty Willis,1014016
Freddy Dolsi,5424
Jim Hayes,1005529
Dutch Kemner,1006826
Jake Virtue,1013440
Jim Gideon,1004678
Roger Denzer,1003215
Frank Hankinson,1005310
Ed Summers,1012719
Sam Leever,1007470
Oscar Villarreal,1654
Doc Martin,1008162
Mike Perez,1010184
Homer Spragins,1012357
George Estock,1003840
Whitey Guese,1005121
Gary Wagner,1013481
Bruce Walton,1013591
Art Decatur,1003122
Bill Husted,1006231
George Baumgardner,1000686
Keith Butler,10080
Bob Greenwood,1004985
Ed Clough,1002363
Gino Minutelli,1008988
J.J. Trujillo,1524
Marty Bystrom,1001802
Harry Hooper,1006002
Roger Salmon,1011387
Bruce Brubaker,1001572
Bob Tewksbury,1012941
Anthony Ferrari,1733
Charlie Girard,1004746
Ed Trumbull,1013206
Paul Penson,1010164
Spider Clark,1002308
Emil Yde,1014328
Fred Beebe,1000767
Manny Hernandez,1005708
Cliff Lee,1636
Red Ames,1000210
Nellie Pott,1010473
Bryan Shaw,8110
Bob Ingersoll,1006259
Scott Kamieniecki,1006681
Steve Hargan,1005356
Pete Young,1014388
Kenley Jansen,3096
Sid Schacht,1011505
Jonathan Johnson,59
Todd Fischer,1004072
Ed Vande Berg,1013348
Malachi Kittridge,1006983
Mike Myers,68
Bill Parsons,1010026
Emmett Seery,1011721
Chris Nabholz,1009431
Dixie Davis,1003045
Adam LaRoche,1904
Tom Herrin,1005730
Jake Thies,1012957
John Gaddy,1004420
John Allen,1000149
Sam Gibson,1004674
Chuck Rose,1011203
Bob Friedrichs,1004351
Danny Jackson,1006295
